Beijing,1683936,441592,0.262237995,
Tianjin,1002376,230422,0.229875815,
Hebei,5834172,1190621,0.204077117,Pay fines
Shanxi,2875002,649273,0.22583393,Charge for double social compensation fee 
Inner Mongolia,1978474,371091,0.187564254,Order to complete the marriage certificate in three months otherwise charging for extra social compensational fee
Liaoning,3758493,714427,0.190083366,Charge for extra 1 to 2 times social compensation fee for women older than legal age of marriage; 3 to 4 times for women younger than legal age of marriage
Jilin,2235899,434799,0.194462719,Charge for extra 8 to ten times social compensation fee
Heilongjiang,3037416,561872,0.184983552,Charge for extra 3 times social compensation fee
Shanghai,2052771,439304,0.214005362,
Jiangsu,6569375,1253715,0.190842356,Charge for extra 0.5 to 2 times social compensation fee for first child and 5-8 times for the second child
Zhejiang,4670702,901314,0.192971849,Order to complete the marriage certificate in six months otherwise charging for extra 0.5 times social compensation fee
Anhui,4300760,836138,0.194416336,Totally illegal
Fujian,2924159,671797,0.229740243,Order to complete the marriage certificate in three months otherwise charging for extra 0.5 to 1 times social compensation fee
Jiangxi,3305199,709337,0.214612494,
Shandong,7779717,1470047,0.18895893,Order to complete the marriage certificate in 60 days otherwise charging for extra 0.2 times social compensational fee
Henan,7248069,1628960,0.224743997,
Hubei,4460629,946283,0.212141158,Charge for extra social compensation fee for the third child
Hunan,4989317,1021150,0.204667292,Order to complete the marriage certificate before the first child is born
Guangdong,8010839,2519144,0.314466937,Order to complete the marriage certificate
Guangxi,3365909,800368,0.237786583,Charge for extra social compensation fee and pay fines
Hainan,655392,182575,0.278573739,Charge for 10%-20% per capita disposable income 
Chongqing,2149383,398558,0.185429028,Charge for extra 3 to 5 times social compensation fee
Sichuan,6731515,1326554,0.197066188,"Charge for extra social compensation fee, and charge for extra 3 times social compensation fee for the third child"
Guizhou,2471843,494275,0.199962134,Order to complete the marriage certificate and charge for extra social compensational fee from the birth of the first child to one year after getting married
Yunnan,3512312,746903,0.212652805,Being dismissed if they work for government departments
Tibet,199755,68184,0.341338139,
Shaanxi,3068634,733201,0.238934001,
Gansu,2131599,495825,0.232607071,Charge for extra social compensation fee and pay fines
Qinghai,420779,94104,0.22364234,
Ningxia,477813,96358,0.201664668,Charge for extra 2 to 6 times social compensation fee
Xinjiang,1640004,364609,0.222322019,Charge for extra 3 to 8 times social compensation fee 
